title,author,publisher,description,cover_url,is_featured
"A Game of Thrones","George R. R. Martin","Mass Market Paperback","Long ago, in a time forgotten, a preternatural event threw the seasons out of balance. In a land where summers can last decades and winters a lifetime, trouble is brewing. The cold is returning, and in the frozen wastes to the north of Winterfell, sinister forces are massing beyond the kingdom's protective Wall. To the south, the king's powers are failing—his most trusted adviser dead under mysterious circumstances and his enemies emerging from the shadows of the throne. At the center of the conflict lie the Starks of Winterfell, a family as harsh and unyielding as the frozen land they were born to. Now Lord Eddard Stark is reluctantly summoned to serve as the king's new Hand, an appointment that threatens to sunder not only his family but the kingdom itself.Sweeping from a harsh land of cold to a summertime kingdom of epicurean plenty, A Game of Thrones tells a tale of lords and ladies, soldiers and sorcerers, assassins and bastards, who come together in a time of grim omens. Here an enigmatic band of warriors bear swords of no human metal; a tribe of fierce wildlings carry men off into madness; a cruel young dragon prince barters his sister to win back his throne; a child is lost in the twilight between life and death; and a determined woman undertakes a treacherous journey to protect all she holds dear. Amid plots and counter-plots, tragedy and betrayal, victory and terror, allies and enemies, the fate of the Starks hangs perilously in the balance, as each side endeavors to win that deadliest of conflicts: the game of thrones.","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1562726234i/13496.jpg",true
"The Hobbit","J.R.R. Tolkien","Houghton Mifflin Harcourt","In a hole in the ground there lived a hobbit. Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat: it was a hobbit-hole, and that means comfort. Written for J.R.R. Tolkien's own children, The Hobbit met with instant critical acclaim when it was first published in 1937. Now recognized as a timeless classic, this introduction to the hobbit Bilbo Baggins, the wizard Gandalf, Gollum, and the spectacular world of Middle-earth recounts of the adventures of a reluctant hero, a powerful and dangerous ring, and the cruel dragon Smaug the Magnificent. The text of this 75th-anniversary edition is based on edition published by HarperCollins in 1995, which restores the author's original intent while showing how Tolkien's later work on The Lord of the Rings affected the evolution of The Hobbit. This definitive edition features a short introduction by Christopher Tolkien, a reset text incorporating the most up-to-date corrections, and all of Tolkien's own drawings and full-color illustrations, including the rare ""Conversation with Smaug,"" ""Mr. Baggins,"" and the previously unpublished ""Mirkwood"" piece. Additional features include over fifty color reproductions of selected sketches and a new map of Wilderland drawn by Brian Sibley specially for this edition. Sure to be treasured by readers both old and new, this beautiful hardcover edition of the bestselling soft-cover edition (which has sold more than 8 million copies worldwide) will make the perfect gift and a lasting keepsake.","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1372847500i/5907.jpg",true
"Harry Potter and the Philosopher's Stone","J.K. Rowling","Bloomsbury Publishing","Harry Potter has never even heard of Hogwarts when the letters start dropping on the doormat at number four, Privet Drive. Addressed in green ink on yellowish parchment with a purple seal, they are swiftly confiscated by his grisly aunt and uncle. Then, on Harry's eleventh birthday, a great beetle-eyed giant of a man called Rubeus Hagrid bursts down the door with some astonishing news: Harry Potter is a wizard, and he has a place at Hogwarts School of Witchcraft and Wizardry. An incredible adventure is about to begin! These new editions of the classic and internationally bestselling, multi-award-winning series feature instantly pick-up-able new jackets by Jonny Duddle, with huge child appeal, to bring Harry Potter to the next generation of readers. It's time to PASS THE MAGIC ON. From the moment Harry Potter steps into the magical world, readers are transported into a universe of wonder, friendship, and adventure that has captivated millions worldwide. This inaugural book in the beloved series introduces us to the boy who lived, his extraordinary destiny, and the enchanting world of magic that awaits him beyond the cupboard under the stairs. With its perfect blend of mystery, humor, and heart, this timeless tale continues to inspire new generations of readers to believe in the power of magic, friendship, and courage in the face of darkness.","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1474154022i/3.jpg",true
"To Kill a Mockingbird","Harper Lee","Grand Central Publishing","The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it. ""To Kill A Mockingbird"" became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic. Compassionate, dramatic, and deeply moving, ""To Kill A Mockingbird"" takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature. Set in the small Alabama town of Maycomb in the 1930s, the story is told through the eyes of Scout Finch, whose father Atticus is a lawyer defending a black man accused of rape. Through Scout's innocent perspective, Lee explores themes of racial injustice, moral growth, and the loss of innocence in a way that resonates with readers of all ages. The novel's enduring power lies in its ability to address serious social issues while maintaining the wonder and curiosity of childhood, creating a narrative that is both accessible and profound.","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1553383690i/2657.jpg",false
"1984","George Orwell","Signet Classics","Among the seminal texts of the 20th century, Nineteen Eighty-Four is a rare work that grows more haunting as its futuristic purgatory becomes more real. Published in 1949, the book offers political satirist George Orwell's nightmarish vision of a totalitarian, bureaucratic world and one man's attempt to find individuality. The brilliance of the novel is Orwell's prescience of modern life—the ubiquity of television, the distortion of the language—and his ability to construct such a thorough version of totalitarianism. Winston Smith toes the Party line, rewriting history to satisfy the needs of the Ministry of Truth. With each lie he writes, Winston grows to hate the Party that seeks dominance over all humanity. Yet as he starts to think for himself, Winston can't escape the fact that Big Brother is always watching. This groundbreaking novel introduced concepts that have become part of our cultural lexicon: Big Brother, thoughtcrime, doublethink, and Newspeak. Set in a dystopian future where individual freedom has been obliterated by an all-seeing government, the story follows Winston's dangerous journey toward truth and love in a world where both are forbidden. Orwell's masterpiece serves as both a gripping narrative and a chilling warning about the dangers of totalitarianism, surveillance, and the manipulation of truth. Its relevance has only grown in our digital age, making it essential reading for understanding the delicate balance between security and freedom.","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1532714506i/40961427.jpg",true
"Pride and Prejudice","Jane Austen","Penguin Classics","Since its immediate success in 1813, Pride and Prejudice has remained one of the most popular novels in the English language. Jane Austen called this brilliant work ""her own darling child"" and its vivacious heroine, Elizabeth Bennet, ""as delightful a creature as ever appeared in print."" The romantic clash between the opinionated Elizabeth and her proud beau, Mr. Darcy, is a splendid performance of civilized sparring. And Jane Austen's radiant wit sparkles as her characters dance a delicate quadrille of flirtation and intrigue, making this book the most superb comedy of manners of Regency England. Set in rural England at the turn of the 19th century, Pride and Prejudice follows the turbulent relationship between Elizabeth Bennet, the daughter of a country gentleman, and Fitzwilliam Darcy, a rich aristocratic landowner. Elizabeth's initial impression of Darcy is unfavorable, finding him arrogant and prideful, while he sees her as beneath his social status. Through a series of misunderstandings, revelations, and personal growth, both characters must overcome their prejudices and learn to see beyond first impressions. Austen's masterful exploration of themes such as love, marriage, money, and social class creates a timeless story that continues to captivate readers more than two centuries after its publication. The novel's enduring appeal lies in its perfect balance of social commentary, romantic tension, and sparkling dialogue.","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320399351i/1885.jpg",false
"The Great Gatsby","F. Scott Fitzgerald","Scribner","The Great Gatsby, F. Scott Fitzgerald's third book, stands as the supreme achievement of his career. This exemplary novel of the Jazz Age has been acclaimed by generations of readers. The story of the fabulously wealthy Jay Gatsby and his love for the beautiful Daisy Buchanan, of lavish parties on Long Island at a time when The New York Times noted ""gin was the national drink and sex the national obsession,"" it is an exquisitely crafted tale of America in the 1920s. The Great Gatsby is one of the great classics of twentieth-century literature. Set in the summer of 1922, the novel follows Nick Carraway, a young bond salesman who moves to West Egg, Long Island, and becomes neighbors with the mysterious millionaire Jay Gatsby. Through Nick's eyes, we witness Gatsby's desperate attempt to recreate his past with Daisy Buchanan, now married to the brutish Tom Buchanan. The novel captures the excess and moral decay of the Roaring Twenties while exploring themes of the American Dream, social class, and the impossibility of recapturing the past. Fitzgerald's lyrical prose and symbolic storytelling create a haunting portrait of an era marked by prosperity, prohibition, and disillusionment. The green light at the end of Daisy's dock becomes one of literature's most enduring symbols, representing hope, longing, and the elusive nature of the American Dream itself.","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1490528560i/4671.jpg",true
"The Catcher in the Rye","J.D. Salinger","Little, Brown and Company","The hero-narrator of The Catcher in the Rye is an ancient child of sixteen, a native New Yorker named Holden Caulfield. Through circumstances that tend to preclude adult, secondhand description, he leaves his prep school in Pennsylvania and goes underground in New York City for three days. The only thing he has to do, after several false starts, is to go home and be a ""catcher in the rye."" What he does instead is tell his story, which is both hilariously funny and heartbreakingly sad. What makes this book so extraordinary is that Holden's story is told in Holden's own words—he is its very own author. The whole book is the narration of a three-day period in Holden's life, an extended monologue in which the reader becomes Holden's confidant. Salinger's masterpiece captures the voice of adolescent alienation like no other work of literature. Holden's journey through New York City becomes a quest for meaning and connection in a world he perceives as fundamentally phony and corrupt. His observations about society, relationships, and growing up resonate with readers who have felt similarly disconnected or disillusioned. The novel's enduring popularity stems from its authentic portrayal of teenage angst and its exploration of themes such as identity, belonging, innocence, and the painful transition from childhood to adulthood. Holden's distinctive voice and perspective have made him one of literature's most memorable and controversial characters.","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1398034300i/5107.jpg",false
"Lord of the Flies","William Golding","Faber & Faber","At the dawn of the next world war, a plane crashes on an uncharted island, stranding a group of schoolboys. At first, with no adult supervision, their freedom is something to celebrate. This far from civilization they can do anything they want. Anything. But as order collapses, as strange howls echo in the night, as terror begins its reign, the hope of adventure seems as far removed from reality as the hope of being rescued. This beautiful new edition features French flaps and rough-cut pages, making it a perfect gift for fans of this classic tale. William Golding's compelling story about a group of very ordinary small boys marooned on a coral island has become a modern classic. At first it seems as though it is all going to be great fun; but the fun before long becomes furious and life on the island turns into a nightmare of panic and death. As ordinary standards of behavior collapse, the whole world the boys create for themselves becomes a terrifying parody of the adult world of war and prejudice they have left behind. Lord of the Flies remains as provocative today as when it was first published in 1954, igniting passionate debate with its startling, brutal portrait of human nature. Though critically acclaimed, it was largely ignored upon its initial publication. In 1983, Golding was awarded the Nobel Prize for Literature, and Lord of the Flies was cited as his defining work.","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327869409i/7624.jpg",false
"Brave New World","Aldous Huxley","Harper Perennial Modern Classics","Aldous Huxley's profoundly important classic of world literature, Brave New World is a searching vision of an unequal, technologically-advanced future where humans are genetically bred, socially indoctrinated, and pharmaceutically anesthetized to passively uphold an authoritarian ruling order–all at the cost of our freedom, full humanity, and perhaps also our souls. ""A genius [who] who spent his life decrying the onward march of the Machine"" (The New Yorker), Huxley was a man of incomparable talents: equally an artist, a spiritual seeker, and one of history's keenest observers of human nature and civilization. Brave New World, his masterpiece, has enthralled and terrified millions of readers, and retains its urgent relevance to this day as both a warning to be heeded as we head into tomorrow and as thought-provoking, satisfying work of literature. Set in London in the year 2540, the novel follows Bernard Marx, an Alpha-Plus male who feels disconnected from his society's values, and John ""the Savage,"" a man raised outside the World State who challenges its fundamental principles. Through their eyes, Huxley explores themes of technology versus humanity, individual freedom versus social stability, and the price of happiness in a perfectly ordered society. The novel's prescient vision of genetic engineering, psychological conditioning, and pharmaceutical control remains startlingly relevant in our modern world.","https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1575509280i/5129.jpg",true
