id,reading_list_id,comment,created_at
1,1,"Finished this one, loved the ending!",2025-01-11 10:00:00
2,2,"Really enjoying the world-building so far.",2025-03-05 11:30:00
3,3,"Planning to start this next month.",2025-04-06 14:00:00
4,4,"The characters are really growing on me.",2025-06-08 09:00:00
5,5,,2025-06-12 15:00:00
6,6,"A satisfying read, definitely recommend!",2025-01-21 16:00:00
7,7,"Looks like a great adventure.",2025-03-11 10:00:00
8,8,"Got hooked immediately.",2025-05-22 13:00:00
9,9,"Might pick this up during my vacation.",2025-06-07 11:00:00
10,10,"Lost interest around chapter 5, putting it aside for now.",2025-02-15 10:00:00
11,11,"Still trying to get back into this one.",2025-05-12 14:00:00
12,12,"Excited to dive in!",2025-06-02 16:00:00
13,13,"The plot is getting intense.",2025-06-22 10:00:00
14,14,"Not quite what I expected, but still good.",2025-02-05 17:00:00
15,15,"Decided to drop this, it wasn't for me.",2025-06-23 18:00:00
16,16,"Hopefully I'll get to this soon.",2025-05-03 09:00:00
17,17,"A truly captivating story.",2025-06-15 11:00:00
18,18,"Intrigued by the premise.",2025-01-22 12:00:00
19,19,"Moving a bit slow, but I'll stick with it.",2025-03-08 10:00:00
20,20,"Paused this for a bit.",2025-04-07 14:00:00
21,21,"Looks promising!",2025-06-02 13:00:00
22,22,"Masterpiece! Couldn't put it down.",2024-12-26 15:00:00
23,23,"On a break from this one, too busy.",2025-03-03 16:00:00
24,24,"Added to my queue.",2025-05-02 11:00:00
25,25,"Picking this up again soon.",2025-06-17 09:00:00
26,26,"Page-turner from start to finish.",2025-01-07 11:00:00
27,27,"Heard great things about this.",2025-03-02 15:00:00
28,28,"Taking a mental break from this.",2025-04-18 17:00:00
29,29,"Next on my list.",2025-06-03 10:00:00
30,30,"An absolute gem, highly recommend!",2025-03-01 12:00:00
31,31,"Hoping to finish this this week.",2025-03-18 10:00:00
32,32,"So far, so good.",2025-05-07 14:00:00
33,33,"Starting this one tonight.",2025-03-02 17:00:00
34,34,"Progressing well.",2025-05-17 11:00:00
35,35,"This looks interesting.",2025-06-06 15:00:00
36,36,"Getting really into the story.",2025-06-23 12:00:00
37,37,"Still on hold, but I'll get back to it.",2025-03-05 13:00:00
38,38,"Engaging read.",2025-04-08 10:00:00
39,39,,2025-05-11 14:00:00
40,40,"Definitely going to read this.",2025-04-11 11:00:00
41,41,"Slow burn, but rewarding.",2025-05-12 09:00:00
42,42,"Excited to read this!",2025-06-03 16:00:00
43,43,"Gripping plot.",2025-06-18 15:00:00
44,44,"Enjoyed this thoroughly, a great plot.",2025-03-27 10:00:00
45,45,"Still actively reading.",2025-03-25 16:00:00
46,46,,2025-05-02 12:00:00
47,47,"Looking forward to this one.",2025-06-02 13:00:00
48,48,"Seems like a good fit for me.",2025-02-02 12:00:00
49,49,"Taking a pause from it.",2025-04-12 10:00:00
50,50,"Reaching the climax now.",2025-05-18 16:00:00
51,51,"New on my list.",2025-06-02 10:00:00
52,52,"Fantastic book, highly recommended.",2025-05-16 19:00:00
53,53,"Starting it this weekend.",2025-06-07 11:00:00
54,54,"Added to my growing list.",2025-06-11 12:00:00
55,55,"Almost done!",2025-06-24 16:00:00
